id,title,view,label
88,"['pmm', 'umm', 'kelompok', 'gelombang', 'edukasi', 'iptek', 'pa', 'nurul', 'hidayah', 'junrejo']",824,populer
89,"['perban', 'syariah', 'uin', 'malang', 'favorit', 'calon', 'maba', 'jalur', 'span', 'ptkin']",1730,populer
90,"['menko', 'airlangga', 'bijak', 'mandatori', 'untung', 'tani', 'sawit']",13896,populer
91,"['klaster', 'hajat', 'warga', 'sumbermanjing', 'wetan', 'malang', 'positif', 'covid']",7748,populer
92,"['guru', 'kota', 'batu', 'tolak', 'vaksin', 'kena', 'sanksi']",6981,populer
93,"['kipp', 'ingat', 'paslon', 'pilbup', 'malang', 'taat', 'atur', 'kampanye']",14110,populer
94,"['sma', 'dempo', 'malang', 'buka', 'daftar', 'ppdb']",883,populer
95,"['ppkm', 'mikro', 'kota', 'malang', 'warga', 'diri', 'posko']",3240,populer
96,"['libur', 'nataru', 'wali', 'kota', 'batu', 'ancam', 'tutup', 'usaha', 'langgar', 'prokes']",6955,populer
97,"['pemkot', 'malang', 'kerah', 'vaksinator', 'puskesmas']",2868,populer
98,"['gopay', 'bank', 'jago', 'hadir', 'mudah', 'akses', 'perban', 'digital']",13269,populer
99,"['uak', 'bisnis', 'hitam', 'jual', 'dokumen', 'covid', 'jelang', 'mudik', 'lebaran']",8107,populer
100,"['covid', 'landai', 'wajib', 'pajak', 'dongkrak', 'drastis']",7339,populer
101,"['nyawa', 'warga', 'kota', 'batu', 'rengut', 'covid']",13724,populer
102,"['kabar', 'gembira', 'lur', 'landai', 'pasien', 'covid', 'isoter', 'skb', 'turun']",4132,populer
103,"['virus', 'covid', 'serang', 'hakim', 'adil', 'bas', 'sidang', 'ikut', 'tunda']",4818,populer
104,"['sembuh', 'pasien', 'covid', 'malang', 'lebih', 'persen', 'mayoritas', 'jalan', 'isoman']",12884,populer
105,"['virus', 'covid', 'serang', 'hakim', 'adil', 'bas', 'sidang', 'ikut', 'tunda']",7940,populer
106,"['korban', 'covid', 'lonjak', 'jalan', 'macet', 'okupansi', 'hotel']",609,populer
107,"['covid', 'kabupaten', 'malang', 'landai', 'kunci']",7540,populer
108,"['datang', 'sidik', 'lancong', 'covid', 'viral', 'ngaku', 'kapok', 'up', 'load', 'medsos', 'sembarang']",7753,populer
109,"['kendali', 'aktif', 'covid', 'akselerasi', 'vaksinasi', 'disiplin', 'prokes']",10248,populer
110,"['edukasi', 'mahasiswa', 'umm', 'sabet', 'medali', 'nasional', 'poster', 'cegah', 'covid']",11291,populer
111,"['covid', 'malang', 'ganas', 'unisma', 'kuliah', 'daring']",7997,populer
112,"['membludak', 'pasien', 'covid', 'isoter', 'ijen', 'geser', 'skb']",13867,populer
113,"['gelar', 'vaksinasi', 'booster', 'unpar', 'kontribusi', 'ula', 'cegah', 'sebar', 'covid']",1448,populer
114,"['tambah', 'nakes', 'guru', 'papar', 'covid']",3903,populer
115,"['covid', 'pakis', 'tinggi', 'kabupaten']",14334,populer
116,"['laboratorium', 'khusus', 'covid', 'malang', 'sulit', 'deteksi', 'omicron', 'alas']",7130,populer
117,"['covid', 'kabupaten', 'malang', 'tinggi', 'empat', 'sejatim']",7263,populer
118,"['siswa', 'papar', 'covid', 'jalan', 'isoman', 'smpn', 'lanjut', 'ptm']",1673,populer
119,"['dosenmahasiswa', 'papar', 'covid', 'fakultas', 'um', 'henti', 'kuliah', 'tatap', 'muka']",5529,populer
120,"['anggap', 'resah', 'warga', 'blimbing', 'kota', 'malang', 'tolak', 'isoter', 'pasien', 'covid']",7714,populer
121,"['kisah', 'pandemi', 'mahasiswi', 'asing', 'um', 'kena', 'covidwisatanya', 'pantai']",2611,populer
122,"['tambah', 'pasien', 'covid', 'lanjut', 'waspada', 'klaster']",3348,populer
123,"['perintah', 'kota', 'malang', 'izin', 'ptm', 'covid', 'tinggi']",711,populer
124,"['covid', 'kota', 'malang', 'lonjak', 'polisi', 'tutup', 'akses', 'jalan']",2881,populer
125,"['ditracing', 'warga', 'kota', 'malang', 'positif', 'covid', 'dinkes', 'pasti', 'omicron']",4507,populer
126,"['kabar', 'badai', 'covid', 'tim', 'arema', 'fc']",11238,populer
127,"['usir', 'tim', 'tracing', 'covid', 'kapolresta', 'malang', 'pidana']",10945,populer
128,"['wuss', 'aktif', 'positif', 'covid', 'kota', 'malang', 'tingkat']",12907,populer
129,"['phobia', 'covid', 'media']",12882,populer
130,"['main', 'positif', 'covid', 'arema', 'fc', 'pantang', 'mundur', 'jadwal', 'liga']",13960,populer
131,"['waspada', 'lurr', 'kota', 'malang', 'tinggi', 'covid', 'jatim']",6937,populer
132,"['covid', 'tambah', 'pemkot', 'malang', 'ajak', 'masyarakat', 'kuat', 'ppkm', 'mikro']",3809,populer
133,"['man', 'kadinkes', 'omicron', 'murni', 'covid']",688,populer
134,"['hasil', 'tes', 'covid', 'samar', 'langkah', 'manajemen', 'arema', 'fc', 'main']",12942,populer
135,"['siswa', 'man', 'kota', 'malang', 'kena', 'covid', 'malang', 'selatan']",965,populer
136,"['duh', 'covid', 'aktif', 'bumi', 'kanjuruhan']",11670,populer
137,"['main', 'positif', 'covid', 'arema', 'fc', 'pantang', 'mundur', 'jadwal', 'liga']",8644,populer
138,"['enam', 'pasien', 'covid', 'pantuan', 'dinkes', 'kota', 'malang']",3395,populer
139,"['madam', 'pju', 'kabupaten', 'intruksi', 'satgas', 'covid']",8571,populer
140,"['airlangga', 'tnipolri', 'peran', 'maksimal', 'tanggulang', 'covid']",9055,populer
141,"['rawan', 'posko', 'bantu', 'tangan', 'covid', 'aksi', 'bareng', 'kadin', 'kab', 'malang']",10087,populer
142,"['tes', 'terima', 'guru', 'pppk', 'bayang', 'tular', 'covid']",1700,populer
143,"['kejar', 'herd', 'immunity', 'dinkes', 'buru', 'warga', 'vaksin', 'covid']",11312,populer
144,"['vaksinasi', 'kabupaten', 'malang', 'tembus', 'persen', 'kebal', 'covid']",7504,populer
145,"['kiprah', 'aisyiyah', 'negeri', 'pandemi', 'covid']",8708,populer
146,"['pasien', 'tinggal', 'covid', 'turun']",11489,populer
